influencer,comment,sentiment,likes,shares,platform,cost,engagement,roi
 User123      , Enjoying a beautiful day at the park!              , Positive  ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 CommuterX    , Traffic was terrible this morning.                 , Negative  ,10.0,5.0, Twitter  ,3000.0,25.0,0.008333333333333333
 FitnessFan   , Just finished an amazing workout! 💪               , Positive  ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 AdventureX   , Excited about the upcoming weekend getaway!        , Positive  ,15.0,8.0, Facebook ,3000.0,39.0,0.013
 ChefCook     , Trying out a new recipe for dinner tonight.        , Neutral   ,25.0,12.0, Instagram ,3000.0,61.0,0.02033333333333333
 GratitudeNow , Feeling grateful for the little things in life.    , Positive  ,50.0,25.0, Twitter  ,3000.0,125.0,0.041666666666666664
 RainyDays    , Rainy days call for cozy blankets and hot cocoa.   , Positive  ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 MovieBuff    , The new movie release is a must-watch!             , Positive  ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 DebateTalk   , Political discussions heating up on the timeline.  , Negative  ,60.0,30.0, Twitter  ,3000.0,150.0,0.05
 BeachLover   , Missing summer vibes and beach days.               , Neutral   ,35.0,18.0, Facebook ,3000.0,89.0,0.029666666666666668
 BloggerX     , Just published a new blog post. Check it out!      , Positive  ,45.0,22.0, Instagram ,3000.0,111.0,0.037
 WellnessCheck, Feeling a bit under the weather today.             , Negative  ,15.0,7.0, Twitter  ,3000.0,36.0,0.012
 UrbanExplorer, Exploring the city's hidden gems.                  , Positive  ,25.0,12.0, Facebook ,3000.0,61.0,0.02033333333333333
 FitJourney   ," New year, new fitness goals! 💪                    ", Positive  ,55.0,28.0, Instagram ,3000.0,139.0,0.04633333333333333
 TechEnthusiast, Technology is changing the way we live.            , Neutral   ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 Reflections  , Reflecting on the past and looking ahead.          , Positive  ,40.0,20.0, Facebook ,3000.0,100.0,0.03333333333333333
 PetAdopter   , Just adopted a cute furry friend! 🐾              , Positive  ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 GamerX       , Late-night gaming session with friends.            , Positive  ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 TechConference, Attending a virtual conference on AI.              , Neutral   ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 WinterBlues  , Winter blues got me feeling low.                   , Negative  ,15.0,8.0, Instagram ,3000.0,39.0,0.013
 Bookworm     , Sipping coffee and enjoying a good book.           , Positive  ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 VRExplorer   , Exploring the world of virtual reality.            , Positive  ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 ProductivityPro, Productive day ticking off my to-do list.          , Positive  ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 FitnessWarrior, Just finished a challenging workout routine.       , Positive  ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 CareerMilestone, Celebrating a milestone at work! 🎉               , Positive  ,25.0,12.0, Facebook ,3000.0,61.0,0.02033333333333333
 BrunchBuddy  , Sunday brunch with friends.                        , Positive  ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 LanguageLearner, Learning a new language for personal growth.       , Positive  ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 BookLover    , Quiet evening with a good book.                    , Positive  ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 MentalHealthMatters, Reflecting on the importance of mental health.     , Positive  ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 ArtistInAction, New painting in progress! 🎨                       , Positive  ,25.0,12.0, Facebook ,3000.0,61.0,0.02033333333333333
 RoadTripper  , Weekend road trip to explore scenic views.         , Positive  ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 SunsetWatcher, Enjoying a cup of tea and watching the sunset.     , Positive  ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 CodeEnthusiast, Coding a new project with enthusiasm.              , Positive  ,60.0,30.0, Facebook ,3000.0,150.0,0.05
 WorkshopAttendee, Feeling inspired after attending a workshop.       , Positive  ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 WinterSports  , Winter sports day at the local park.               , Positive  ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 FamilyTime   , Quality time with family this weekend.             , Positive  ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 MusicLover   , Attending a live music concert tonight.            , Positive  ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 MindfulMoments, Practicing mindfulness with meditation.            , Positive  ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 DessertExplorer, Trying out a new dessert recipe.                   , Positive  ,25.0,12.0, Facebook ,3000.0,61.0,0.02033333333333333
 GamingEnthusiast, Excited about the upcoming gaming tournament.      , Positive  ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 GardenPlanner , Planning a garden makeover for spring.             , Positive  ,50.0,25.0, Twitter  ,3000.0,125.0,0.041666666666666664
 BirthdayBash , Celebrating a friend's birthday tonight! 🎂       , Positive  ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 ProductivityWin, Feeling accomplished after a productive day.       , Positive  ,45.0,22.0, Instagram ,3000.0,111.0,0.037
 MovieNight   , A cozy evening with a good movie.                 , Positive  ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 ArtExplorer  , Exploring local art galleries this weekend.        , Positive  ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 BookwormX    , New book release from my favorite author!          , Positive  ,25.0,12.0, Instagram ,3000.0,61.0,0.02033333333333333
 VRMeetup     , Attending a virtual reality meetup.                , Positive  ,55.0,28.0, Twitter  ,3000.0,139.0,0.04633333333333333
 NatureLover  , Reflecting on the beauty of nature.                , Positive  ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 ChefAtHome   , Cooking a special dinner for loved ones.           , Positive  ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 OptimisticMindset, Feeling optimistic about the week ahead.           , Positive  ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 FitnessChallenge, Starting a new fitness challenge tomorrow! 💪     , Positive  ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 BikeExplorer  , Sunday bike ride through scenic trails.           , Positive  ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 SocialJustice   , Can't believe the injustice happening in our society., Anger        ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 ThrillerFan     , Feeling a sense of fear after watching a thriller movie. , Fear         ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 EmpathyFirst    , Heartbroken after hearing the news about a natural disaster. , Sadness      ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 EcoAwareness    , The state of the world's environment is just disgusting. , Disgust      ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 ProudFriend     , Pure happiness: celebrating a loved one's achievement! , Happiness    ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 ComedyFan       , Laughter is the best medicine—enjoying a comedy show. , Joy          ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 LoveSpreader    , Sharing love and positive vibes with everyone! ❤️      , Love         ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 AmusedSoul      , An amusing incident brightened up my day!               , Amusement    ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 BookLoverAgain  , Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 NatureAdmirer   , Admiring the beauty of nature during a peaceful hike.   , Admiration   ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 AffectionSender , Sending affectionate vibes to all my followers!          , Affection    ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 AweStruck       , Experiencing awe at the breathtaking sunset.            , Awe          ,45.0,22.0, Facebook ,3000.0,111.0,0.037
